mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
2.8440183,0.818997077,0.00585111,0.001248318,0.6,0.05,2,1,50,0.2,1,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 50, 'reg_alpha': 0.2, 'reg_lambda': 1, 'subsample': 0.5}",0.390530435,0.322771846,0.431371179,0.38155782,0.04478716,25,0.746246269,0.779256043,0.787689769,0.771064027,0.017883377
1.460176547,0.016510063,0.00535353,0.000243014,0.6,0.05,2,1,100,0.2,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.2, 'reg_lambda': 5, 'subsample': 0.5}",0.387369625,0.321395239,0.435514893,0.381426586,0.046778297,26,0.830290395,0.863561862,0.875041543,0.856297934,0.018977879
2.296908299,0.082405708,0.005002419,4.04E-06,0.6,0.05,2,1,150,0.1,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 1, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 5, 'subsample': 0.5}",0.404698014,0.322236002,0.417078491,0.381337502,0.042095602,27,0.908897951,0.928325444,0.935309044,0.92417748,0.011174097
10.19170618,0.136510624,0.00616916,0.000245641,1,0.1,4,1,150,0.1,1,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.5}",0.39855624,0.393286677,0.352087625,0.381310181,0.020775152,28,0.994807391,0.995964259,0.997418483,0.996063378,0.001068275
11.51185314,0.248592579,0.006005764,0.00081781,1,0.05,4,1,150,0.1,1,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 150, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.5}",0.457299658,0.322222648,0.363354845,0.38095905,0.056532473,29,0.979218821,0.983560013,0.986466358,0.983081731,0.00297806
1.486617168,0.039680173,0.005676349,0.000232449,0.6,0.05,2,3,100,0.2,5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 100, 'reg_alpha': 0.2, 'reg_lambda': 5, 'subsample': 0.5}",0.38645631,0.31471943,0.441602771,0.380926171,0.051947296,30,0.824077562,0.863134545,0.872036632,0.853082913,0.02082938
4.266814073,0.069493106,0.005008698,0.000415262,0.6,0.05,3,3,150,0.2,0.5,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.2, 'reg_lambda': 0.5, 'subsample': 0.5}",0.39459165,0.332046902,0.41533667,0.380658407,0.035401486,31,0.964195209,0.968638892,0.977394976,0.970076359,0.005483806
7.799524387,0.42958888,0.006004969,0.000814005,1,0.05,4,1,100,0.1,0.5,0.5,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'n_estimators': 100, 'reg_alpha': 0.1, 'reg_lambda': 0.5, 'subsample': 0.5}",0.431842049,0.310591085,0.398384009,0.380272381,0.051130372,32,0.957833025,0.964248756,0.973739069,0.965273617,0.006533928
4.442094247,0.221833557,0.006507158,0.000411011,0.6,0.05,3,3,150,0.2,1,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 150, 'reg_alpha': 0.2, 'reg_lambda': 1, 'subsample': 0.5}",0.358569208,0.351797323,0.429250646,0.379872392,0.035024977,33,0.960563631,0.967775133,0.973408983,0.967249249,0.00525726
0.770332177,0.026515443,0.005465984,0.000349952,0.6,0.05,2,3,50,0.1,1,0.5,"{'colsample_bytree': 0.6, 'learning_rate': 0.05, 'max_depth': 2, 'min_child_weight': 3, 'n_estimators': 50, 'reg_alpha': 0.1, 'reg_lambda': 1, 'subsample': 0.5}",0.372843026,0.328611807,0.437638426,0.379697753,0.044773068,34,0.757591927,0.791382933,0.793190163,0.780721674,0.016371834
